Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Wed Nov 04 18:16:08 PST 2020,mainClassRegistry.java,1604542568831,1920,1920,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
,/modelData/A0UserStudy2010.arff,Wed Nov 04 18:16:08 PST 2020,mainClassRegistry.java, 1604542568831
2,,Wed Nov 04 18:16:10 PST 2020,mainClassRegistry.java,1604542570875,4235,4235,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0,[]
3,,Wed Nov 04 18:16:15 PST 2020,mainClassRegistry.java,1604542575113,44,44,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
4,,Wed Nov 04 18:16:15 PST 2020,mainClassRegistry.java,1604542575159,44,44,(I)5(F)2(I)17,0.9166666666666666,0.0,0.0,8.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
5,,Wed Nov 04 18:16:15 PST 2020,mainClassRegistry.java,1604542575204,14342,0,(I)23,1.0,0.0,0.0,0.0,0.0,0.0,1.6428571428571428,0.0,0.0,0.0,0.0,0.0,1.6428571428571428,0.0,[]
6,,Wed Nov 04 18:16:29 PST 2020,mainClassRegistry.java,1604542589707,1004,1004,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
7,,Wed Nov 04 18:16:30 PST 2020,mainClass.java,1604542590853,16983,0,(I)5(F)2(I)3(R)2(I)7,0.7894736842105263,0.0,0.0,10.526315789473683,0.0,0.0,1.1875,0.0,0.0,0.125,0.0,0.125,0.9375,0.0,[]
8,,Wed Nov 04 18:16:47 PST 2020,mainClass.java,1604542607908,87514311,0,(I)5(F)6(I)1(F)6(I)1(F)3,0.3181818181818182,0.0,0.0,68.18181818181817,0.0,0.0,2.513883492926846E-4,0.0,0.0,1.7140114724501222E-4,0.0,0.0,7.998720204767237E-5,0.0,[]
9,,Thu Nov 05 18:34:15 PST 2020,mainClassRegistry.java,1604630055292,279829,0,(F)1(I)1(F)2(I)1(F)4(I)2(F)2(I)3(F)1(N)1(F)1,0.3684210526315789,0.0,5.263157894736842,57.89473684210527,0.0,0.0,0.06810035842293907,0.0035842293906810036,0.0,0.03942652329749104,0.0,0.0,0.025089605734767026,0.0,[]
10,,Thu Nov 05 18:38:56 PST 2020,ListEvaluator.java,1604630336065,31918,0,(I)6(F)2(I)10(R)1(I)2,0.8571428571428571,0.0,0.0,9.523809523809524,0.0,0.0,0.6774193548387096,0.0,0.0,0.06451612903225806,0.0,0.03225806451612903,0.5806451612903226,0.0,[]
11,,Thu Nov 05 18:39:28 PST 2020,ListEvaluator.java,1604630368126,963,963,(I)6(R)2(I)8(R)1(I)8,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
12,,Thu Nov 05 18:39:29 PST 2020,ListEvaluator.java,1604630369773,6830,6830,(R)2(I)23,0.92,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,3.8333333333333335,0.0,[]
13,,Thu Nov 05 18:39:36 PST 2020,ListEvaluator.java,1604630376925,3238,3238,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,[]
14,,Thu Nov 05 18:39:40 PST 2020,ListEvaluator.java,1604630380388,15707,0,(I)23,1.0,0.0,0.0,0.0,0.0,0.0,1.5333333333333334,0.0,0.0,0.0,0.0,0.0,1.5333333333333334,0.0,[]
