#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Nov 07 00:41:12 PST 2020,0,0,TestLispFileProvided, , ,TestLispFileProvided- ,AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker ClassRegistryProvided CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker MainClassProvided NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker SExpressionClassProvided TestLispFileProvided ,
1,Sat Nov 07 00:41:17 PST 2020,5,5,A1LoadLogicalSuite,ClassRegistryProvided+ MainClassProvided+ , ,AndTestedChecker+ AndTestedTwoResultsChecker+ LoadChecker+ NotTestedChecker+ NotTestedTwoResultsChecker+ OrTestedChecker+ OrTestedTwoResultsChecker+ TestLispFileProvided ,BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker SExpressionClassProvided ,
2,Sat Nov 07 00:41:18 PST 2020,5,0,A1ToStringSuite,ClassRegistryProvided MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker+ BaseCaseSExpressionToStringChecker+ ListToStringChecker+ ListToStringDeepChecker+ LoadChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker TestLispFileProvided ,CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker LorETestedChecker LorETestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker SExpressionClassProvided ,
3,Sat Nov 07 00:41:20 PST 2020,5,0,A1RequiredClassesSuite,ClassRegistryProvided MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker ListToStringChecker ListToStringDeepChecker LoadChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker SExpressionClassProvided+ TestLispFileProvided ,CondTestedChecker CondTestedResultsChecker ConsTestedChecker ConsTestedTwoResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker LorETestedChecker LorETestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker ,
4,Sat Nov 07 00:41:25 PST 2020,10,5,A1LoadSuite,ClassRegistryProvided ConsTestedChecker+ ConsTestedTwoResultsChecker+ MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker+ CondTestedResultsChecker+ EvalTestedChecker+ EvalTestedTwoResultsChecker+ ListTestedChecker+ ListTestedTwoResultsChecker+ ListToStringChecker ListToStringDeepChecker LoadChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker+ QuoteTestedTwoResultsChecker+ SExpressionClassProvided TestLispFileProvided ,GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker LorETestedChecker LorETestedTwoResultsChecker ,
5,Sat Nov 07 00:41:29 PST 2020,10,0,A1LoadRelationSuite,ClassRegistryProvided ConsTestedChecker ConsTestedTwoResultsChecker MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker CondTestedResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker+ GorETestedTwoResultsChecker+ GreaterTestedChecker+ GreaterTestedTwoResultsChecker+ LessTestedChecker+ LessTestedTwoResultsChecker+ ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker+ LorETestedTwoResultsChecker+ NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker SExpressionClassProvided TestLispFileProvided , ,
6,Sat Nov 07 00:42:06 PST 2020,10,0,TestLispFileProvided,ClassRegistryProvided ConsTestedChecker ConsTestedTwoResultsChecker MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker CondTestedResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker SExpressionClassProvided TestLispFileProvided , ,
7,Sat Nov 07 00:44:01 PST 2020,10,0,TestLispFileProvided,ClassRegistryProvided ConsTestedChecker ConsTestedTwoResultsChecker MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker CondTestedResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker SExpressionClassProvided TestLispFileProvided , ,
8,Sat Nov 07 00:44:03 PST 2020,10,0,A1LoadRelationSuite,ClassRegistryProvided ConsTestedChecker ConsTestedTwoResultsChecker MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker CondTestedResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker SExpressionClassProvided TestLispFileProvided , ,
9,Sat Nov 07 00:44:07 PST 2020,10,0,A1LoadLogicalSuite,ClassRegistryProvided ConsTestedChecker ConsTestedTwoResultsChecker MainClassProvided , ,AndTestedChecker AndTestedTwoResultsChecker BaseCaseListToStringChecker BaseCaseSExpressionToStringChecker CondTestedChecker CondTestedResultsChecker EvalTestedChecker EvalTestedTwoResultsChecker GorETestedChecker GorETestedTwoResultsChecker GreaterTestedChecker GreaterTestedTwoResultsChecker LessTestedChecker LessTestedTwoResultsChecker ListTestedChecker ListTestedTwoResultsChecker ListToStringChecker ListToStringDeepChecker LoadChecker LorETestedChecker LorETestedTwoResultsChecker NotTestedChecker NotTestedTwoResultsChecker OrTestedChecker OrTestedTwoResultsChecker QuoteTestedChecker QuoteTestedTwoResultsChecker SExpressionClassProvided TestLispFileProvided , ,
